airport_id,name,iso_country,iso_region,city,iata_code
42683,L'Aigle-Saint-Michel Airfield,FR,FR-NOR,"Saint-Sulpice-sur-Risle, Orne",
42684,Lessay Airfield,FR,FR-NOR,"Lessay, Basse-Normandie",
42685,Aérodrome de Dreux - Vernouillet,FR,FR-CVL,Dreux,
42686,Les Sables-d'Olonne Talmont Airport,FR,FR-PDL,Les Sables-d'Olonne,LSO
42687,Rouen Vallée de Seine Airport,FR,FR-NOR,Boos,URO
42688,Blois-Le Breuil Airfield,FR,FR-CVL,"Villefrancœur, Loire-et-Cher",
42689,Aérodrome de Chartres-Métropole,FR,FR-CVL,Chartres / Champhol,
42690,Saint-Valery-Vittefleur Airfield,FR,FR-NOR,Saint-Sylvain,
42691,Tours Val de Loire Airport,FR,FR-CVL,"Tours, Indre-et-Loire",TUF
42692,Cholet Le Pontreau Airfield,FR,FR-PDL,Cholet/Le Pontreau,CET
42693,Laval-Entrammes Airport,FR,FR-PDL,"Laval, Mayenne",LVA
42694,Saint-Quentin-Roupy Airfield,FR,FR-HDF,"Fontaine-lès-Clercs, Aisne",
42695,Aérodrome d'Étampes-Mondésir,FR,FR-IDF,Guillerval,
42696,Havre-Saint-Romain-de-Colbosc Airfield,FR,FR-NOR,Gommerville,
42697,Orléans – Saint-Denis-de-l'Hôtel Airport,FR,FR-CVL,Orléans,ORE
42698,Persan-Beaumont Airfield,FR,FR-IDF,"Bernes-sur-Oise, Val-d'Oise",
42699,Paris-Le Bourget Airport,FR,FR-IDF,"Paris (Le Bourget, Seine-Saint-Denis)",LBG
42700,Creil Air Base,FR,FR-HDF,Creil,CSF
42702,Meaux-Esbly Airfield,FR,FR-IDF,"Isles-lès-Villenoy, Seine-et-Marne",
42703,Beynes Thiverval Airfield,FR,FR-IDF,"Beynes, Yvelines",
42704,Charles de Gaulle International Airport,FR,FR-IDF,"Paris (Roissy-en-France, Val-d'Oise)",CDG
42705,Chelles-le-Pin Airfield,FR,FR-IDF,"Chelles, Seine-et-Marne",
42707,Coulommiers-Voisins Aerodrome,FR,FR-IDF,"Pommeuse, Seine-et-Marne",
42708,Lognes Emerainville Airfield,FR,FR-IDF,"Lognes, Seine-et-Marne",
42709,Melun-Villaroche Airfield,FR,FR-IDF,"Moissy-Cramayel, Seine-et-Marne",
42710,Toussus-le-Noble Airport,FR,FR-IDF,"Toussus-le-Noble, Yvelines",TNF
42711,Paris-Orly Airport,FR,FR-IDF,"Paris (Orly, Val-de-Marne)",ORY
42712,Le Plessis-Belleville Airfield,FR,FR-HDF,Le Plessis-Belleville,
42713,Fontenay-Trésigny Aerodrome,FR,FR-IDF,Fontenay-Trésigny,
42715,Pontoise-Cormeilles Aerodrome,FR,FR-IDF,"Cormeilles-en-Vexin, Val-d'Oise",POX
42716,Moret-Episy Airfield,FR,FR-IDF,"Moret-Loing-et-Orvanne, Seine-et-Marne",
42717,Vélizy-Villacoublay Air Base,FR,FR-IDF,"Vélizy-Villacoublay, Yvelines",VIY
